Fund Name,Region,Risk Level,Management Type,Number of Assets,Ongoing Charge (OCF),May 2019 - Apr 2020,May 2020 - Apr 2021,May 2021 - Apr 2022,May 2022 - Apr 2023,May 2023 - Apr 2024
U.K. Investment Grade Bond Index Fund,UK,4,Index,1210,0.12%,5.63%,3.00%,-8.50%,-7.51%,4.16%
U.K. Long Duration Gilt Index Fund,UK,6,Index,31,0.12%,27.68%,-14.14%,-12.99%,-28.74%,-6.95%
U.K. Short-Term Investment Grade Bond Index Fund,UK,3,Index,553,0.12%,0.99%,3.29%,-4.46%,-2.15%,4.91%
U.S. Equity Index Fund,USA,6,Index,3614,0.10%,1.76%,37.13%,6.28%,0.84%,22.55%
U.S. Government Bond Index Fund,USA,4,Index,353,0.12%,12.32%,-4.42%,-7.71%,-2.28%,-3.39%
U.S. Investment Grade Credit Index Fund,USA,4,Index,7793,0.12%,6.15%,4.09%,-10.18%,-0.99%,0.35%
USD Corporate 1-3 Year Bond UCITS ETF,Global,3,Index,2071,0.09%,3.35%,3.60%,-3.93%,1.61%,4.25%
USD Corporate Bond UCITS ETF,Global,4,Index,9616,0.09%,8.89%,5.18%,-10.23%,0.62%,1.35%
USD Emerging Markets Government Bond UCITS ETF,Emerging,4,Index,1359,0.25%,-1.77%,11.94%,-11.70%,-0.11%,6.38%
USD Treasury Bond UCITS ETF,USA,4,Index,289,0.07%,14.02%,-4.24%,-7.41%,-0.98%,-2.85%
